symbol,cik,events
ECAT,0001864843,117
BIGZ,0001836057,114
TTSH,0001552800,97
DGICA,0000800457,68
MAV,0001258943,56
MHI,0001223026,53
PBF,0001534504,53
ENX,0001177162,51
MPA,0000891038,50
PFBX,0000770460,49
EMO,0001517518,49
BMEZ,0001785971,49
AXR,0000006207,46
FXNC,0000719402,45
NRGX,0001756908,45
SFBC,0001541119,42
NYC,0001595527,41
GABC,0000714395,40
BWFG,0001505732,40
BFZ,0001137391,40
GLSI,0001799788,38
TCBI,0001077428,38
CSPI,0000356037,38
CSBB,0000880417,37
CTRN,0001318484,37
PCB,0001423869,36
TLYS,0001524025,36
FFIN,0000036029,35
EVM,0001177161,35
GRX,0001391437,35
MIO,0001864290,35
GRNT,0001928446,34
MPB,0000879635,33
NQP,0000870780,33
TRST,0000357301,32
SCWX,0001468666,32
BCAT,0001809541,32
MDRR,0001654595,30
NXJ,0001087786,30
APPN,0001441683,29
CULP,0000723603,29
BXSY,0001059213,29
HTLD,0000799233,28
PSEC,0001287032,28
ACDC,0001881487,28
CEM,0001488775,28
ASA,0001230869,28
BUSE,0000314489,26
PEO,0000216851,26
CTR,0001547341,26
NMAI,0001861115,26
FMBM,0000740806,25
BCBP,0001228454,25
FBK,0001649749,25
MEGI,0001855066,25
QRHC,0001442236,25
GLP,0001323468,25
TBBK,0001295401,24
NEWT,0001587987,24
BPRN,0001913971,24
NVCT,0001875558,24
WLKP,0001604665,23
HQL,0000884121,23
SRBK,0001951276,23
LGF,0000929351,23
FRST,0001325670,22
ONEW,0001772921,22
NMFC,0001496099,22
BSBK,0001787414,22
SLND,0001883814,22
FRD,0000039092,22
FNKO,0001704711,22
KSM,0000846596,22
VTN,0000883265,22
VPV,0000895528,22
ACR,0001332551,21
CODI,0001345126,21
REFLX,0001896329,21
BY,0001702750,21
OVLY,0001431567,21
RMAX,0001581091,21
PEB,0001474098,21
WEST,0001806347,21
QNBC,0000750558,21
PVBC,0001778784,21
STAA,0000718937,21
CBKM,0001006830,20
ISSC,0000836690,20
UBFO,0001137547,20
HWBK,0000893847,20
DMF,0000839122,20
SUNS,0002012706,20
