symbol,cik,events
OPK,0000944809,388
TIPT,0001393726,328
DGICA,0000800457,172
AAT,0001500217,166
VOXX,0000807707,165
CWGL,0001562151,152
KFS,0001072627,148
SAFE,0001688852,145
CNBKA,0000812348,141
GABC,0000714395,136
MPB,0000879635,132
CCD,0001602584,131
GBDC,0001476765,129
FFIN,0000036029,128
PSEC,0001287032,126
BIGZ,0001836057,125
ECAT,0001864843,125
BWFG,0001505732,121
HSON,0001210708,115
CSBB,0000880417,114
NMFC,0001496099,109
TTSH,0001552800,108
CLMS,0001299033,107
PBF,0001534504,103
MTDR,0001520006,102
PFBX,0000770460,101
BBDC,0001379785,101
SPKE,0001606268,100
STFC,0000874977,99
MMAC,0001003201,99
FMNB,0000709337,99
EPD,0001061219,97
JMP,0001302350,96
NEWT,0001587987,96
AXDX,0000727207,93
UFI,0000100726,93
KDP,0001418135,93
GAM,0000040417,92
CODI,0001345126,90
BCBP,0001228454,89
MLVF,0001550603,89
FSK,0001422183,89
DMLP,0001172358,88
TRST,0000357301,86
AGFS,0001592016,86
NICK,0001000045,86
APLE,0001418121,84
NYC,0001595527,84
AMH,0001562401,83
NRIM,0001163370,83
COTY,0001024305,83
OVLY,0001431567,83
FUND,0000825202,82
FPI,0001591670,82
SYBT,0000835324,81
SXCP,0001555538,81
SONA,0001325670,81
RKT,0001805284,81
HCAP,0001559909,80
PCB,0001423869,79
CMTV,0000718413,78
RILY,0001464790,78
GLSI,0001799788,78
EMO,0001517518,77
FXNC,0000719402,75
KMI,0001506307,75
SSP,0000832428,74
ASA,0001230869,74
BKSC,0001007273,73
GCBC,0001070524,73
BRT,0000014846,72
AIRT,0000353184,72
APPN,0001441683,72
NRGX,0001756908,72
TELA,0001561921,72
HQI,0001140102,72
MNR,0000067625,71
BUSE,0000314489,71
OLBK,0001253317,70
FRST,0001325670,69
FSIC,0001422183,68
YORW,0000108985,67
ISBA,0000842517,67
TEX,0000097216,67
TSC,0001380846,67
CZWI,0001367859,67
AXR,0000006207,67
SHLD,0001310067,66
CAPL,0001538849,66
LE,0000799288,66
CMCT,0000908311,66
ENX,0001177162,66
TCBI,0001077428,65
CBKM,0001006830,65
SYNL,0000095953,64
PDVW,0001304492,64
EML,0000031107,64
VPG,0001487952,64
ATNX,0001300699,64
ET,0001276187,64
CZNC,0000810958,63
RDUS,0001428522,63
RIT,0001173557,63
MAV,0001258943,63
TURN,0000893739,63
CSPI,0000356037,63
NWBI,0001471265,62
PWOD,0000716605,62
NKSH,0000796534,62
FEIM,0000039020,62
CWH,0001669779,62
MACK,0001274792,61
BOTJ,0001275101,61
GRX,0001391437,61
AYR,0001362988,61
BCAT,0001809541,61
BOCH,0000702513,60
CBFV,0001605301,60
CLF,0000764065,60
APO,0001411494,60
UIHC,0001401521,60
GLP,0001323468,60
GNTY,0001058867,60
PNNT,0001383414,59
NXRT,0001620393,59
FRAF,0000723646,59
WTBA,0001166928,59
WLKP,0001604665,59
NWFL,0001013272,58
FMBM,0000740806,58
NATR,0000275053,58
EHI,0001228509,58
FAV,0001403275,58
MHI,0001223026,58
CRCT,0001828962,58
CSWC,0000017313,57
ATLO,0001132651,57
CSV,0001016281,57
NXDT,0001356115,57
GFN,0001342287,56
SPOK,0001289945,56
UPLD,0001505155,55
CCUR,0000749038,55
ARCC,0001287750,55
PBHC,0001609065,55
GRNT,0001928446,55
EVM,0001177161,55
TRC,0000096869,54
BCOV,0001313275,54
FNB,0000037808,54
FLDM,0001162194,54
BMEZ,0001785971,54
ALTG,0001759824,54
SPE,0000897802,53
RRTS,0001440024,53
CVLY,0000806279,53
NGM,0001426332,53
JYNT,0001612630,52
RM,0001519401,52
FNWB,0001556727,52
LAWS,0000703604,52
MYE,0000069488,52
UMH,0000752642,52
DKL,0001552797,52
OSBC,0000357173,52
TSI,0000809559,51
CMT,0001026655,51
KYN,0001293613,51
MPA,0000891038,51
MOFG,0001412665,51
GF,0000858706,51
MYOV,0001679082,51
MIC,0001289790,51
FISI,0000862831,50
NHS,0001487610,50
LOB,0001462120,50
HT,0001063344,50
WHF,0001552198,50
PINE,0001786117,50
MMLP,0001176334,49
CFFN,0001490906,49
GLQ,0001316463,49
ACNB,0000715579,49
HTLD,0000799233,49
TLYS,0001524025,49
OPBK,0001722010,49
NVCT,0001875558,49
ORI,0000074260,48
SVVC,0001495584,48
MERC,0001333274,48
GOOD,0001234006,48
SCM,0001551901,48
GWRS,0001434728,48
HVBC,0001594555,48
OTEL,0001288359,48
DISH,0001001082,48
NREF,0001786248,48
GSBD,0001572694,47
PFIS,0001056943,47
TSLX,0001508655,47
QNBC,0000750558,47
STAA,0000718937,47
TBBK,0001295401,47
PCF,0000810943,47
MDRR,0001654595,47
PHD,0001305767,47
HCOM,0001487986,46
EFSI,0000880641,46
RYI,0001481582,46
HRZN,0001487428,46
CEN,0001576340,46
BSM,0001621434,46
UVSP,0000102212,46
HWBK,0000893847,46
AGC,0001391461,46
CBAN,0000711669,46
GIM,0000828803,46
BY,0001702750,46
DBD,0000028823,46
ESQ,0001531031,46
VST,0001692819,46
ASYS,0000720500,45
GER,0001612875,45
FAST,0000815556,45
FSP,0001031316,45
FBNC,0000811589,45
CCNE,0000736772,45
FLKS,0001615219,45
GEL,0001022321,45
CHN,0000845379,45
BRBS,0000842717,45
BLFY,0001846017,45
BHLB,0001108134,44
FRD,0000039092,44
WPT,0001574963,44
TCPC,0001370755,44
CIVB,0000944745,44
SFBC,0001541119,44
CET,0000018748,44
DFRG,0001415301,44
SMMF,0000811808,44
SBH,0001368458,44
ABR,0001253986,44
JELD,0001674335,44
ACR,0001332551,44
PEO,0000216851,43
CTBI,0000350852,43
AMRC,0001488139,43
HCI,0001400810,43
BPRN,0001913971,43
FIX,0001035983,42
CPTA,0001571329,42
UVE,0000891166,42
PIH,0001591890,42
CTRN,0001318484,42
RNDB,0001667161,42
CLBK,0001723596,42
SMM,0001534293,42
SCWX,0001468666,42
MEGI,0001855066,42
RWAY,0001653384,42
WIW,0001267902,41
NSEC,0000865058,41
HMST,0001518715,41
FDBC,0001098151,41
CHMG,0000763563,41
PEB,0001474098,41
PGC,0001050743,41
BDGE,0000846617,41
STON,0001286131,41
CTR,0001547341,41
GDL,0001378701,41
GRF,0000850027,41
ETM,0001067837,41
NS,0001110805,41
EQBK,0001227500,41
ULBI,0000875657,41
TRIN,0001786108,41
PFX,0001490349,41
BFZ,0001137391,41
HEES,0001339605,40
FMAO,0000792966,40
JCAP,0001622353,40
ASPS,0001462418,40
SRG,0001628063,40
CEM,0001488775,40
MGM,0000789570,40
SWZ,0000813623,40
COMM,0001517228,40
GBLI,0001494904,40
JGV,0001363421,40
TICC,0001259429,40
PHF,0000837951,40
CCEL,0000862692,40
ELAN,0001739104,40
BSBK,0001787414,40
MIO,0001864290,40
OFC,0000860546,39
MXF,0000065433,39
TBK,0001539638,39
LMRK,0001615346,39
MCC,0001490349,39
TPVG,0001580345,39
DDR,0000894315,39
VBTX,0001501570,39
RGT,0001514490,39
IO,0000866609,39
HRTG,0001598665,39
HBT,0000775215,39
SOFI,0001818874,39
BXSY,0001059213,39
FFBC,0000708955,38
LKFN,0000721994,38
PLBC,0001168455,38
SLRC,0001418076,38
OFG,0001030469,38
CVCY,0001127371,38
LBAI,0000846901,38
HASI,0001561894,38
VABK,0001572334,38
AMBC,0000874501,38
SMLP,0001549922,38
FBK,0001649749,38
TDF,0000919893,38
LAZY,0001721741,38
OCSL,0001414932,38
BATRA,0001560385,38
XOMA,0000791908,38
ICMB,0001578348,38
AVBC,0002058758,38
SFNC,0000090498,37
PPBI,0001028918,37
IHRT,0001400891,37
BKGM,0001527383,37
KRO,0001257640,37
KN,0001587523,37
NSH,0001223786,37
HTBK,0001053352,37
EARN,0001560672,37
PENN,0000921738,37
TRN,0000099780,37
PRGX,0001007330,37
CGBD,0001544206,37
ODT,0001717452,37
RUN,0001469367,37
CULP,0000723603,37
EVER,0001640428,37
MAC,0000912242,37
RMAX,0001581091,37
CION,0001534254,37
QRHC,0001442236,37
FBIZ,0001521951,36
DWCH,0000792130,36
ICBK,0001470205,36
GE,0000040545,36
ABDC,0001578620,36
EDI,0001551040,36
WSBC,0000203596,36
BNED,0001634117,36
PFLT,0001504619,36
FRGI,0001534992,36
MBCN,0000836147,36
REV,0000887921,36
PLSE,0001625101,36
RBB,0001499422,36
LNDC,0001005286,36
SSSS,0001509470,36
ONEW,0001772921,36
FSBC,0001275168,36
SUNS,0002012706,36
INBK,0001562463,35
GLPI,0001575965,35
BVSN,0000920448,35
NFBK,0001493225,35
FGBI,0001408534,35
RRGB,0001171759,35
PKBK,0001315399,35
WOW,0001701051,35
RDVT,0001720116,35
SIX,0000701374,35
ATEX,0001304492,35
WIA,0001254370,34
DAL,0000027904,34
IRET,0000798359,34
ISTR,0001602658,34
TTS,0001552800,34
AHH,0001569187,34
NGL,0001504461,34
LGF,0000929351,34
SUP,0000095552,34
UNVR,0001494319,34
FKYS,0000737875,34
DM,0001603286,34
HPP,0001482512,34
ESXB,0001323648,34
ESPR,0001434868,34
RGCO,0001069533,34
ASIX,0001673985,34
SBOW,0000351817,34
MNI,0001056087,34
GPMT,0001703644,34
LILA,0001712184,34
MRBK,0001750735,34
CADE,0001614184,34
RMCF,0001616262,34
VFL,0000895574,34
ERC,0001227073,33
SFST,0001090009,33
HBAN,0000049196,33
SBSI,0000705432,33
TEP,0001569134,33
ORRF,0000826154,33
TREC,0000007039,33
PEBO,0000318300,33
FSTR,0000352825,33
AWF,0000906013,33
THFF,0000714562,33
